"zipcode","city","list","list_number","firstname","lastname","gender","position","party","cumuls_2017","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","cumuleo_url"
4280,"Hannut","liste MayeuR",,"Niels","'s HEEREN","M",21,,,,,,,,,,,,,,,,,
1070,"Anderlecht","PS-sp.a-cdH",5,"Mohammad Sunny","Aamir Naeem",,37,,,,,,,,,,,,,,,,,
1000,"Bruxelles","DéFI",4,"Myriam","AÂZIBOU",,42,,,,,,,,,,,,,,,,,
7600,"Péruwelz","PS",,"Jimmy","ABABIO","M",25,,,,,,,,,,,,,,,,,
7130,"Binche","MR-CI",,"Benoit","ABAD et ORTEGA","M",11,,,,,,,,,,,,,,,,,
6200,"Châtelet","PS",,"Françoise","ABAD GONZALEZ","F",32,"PS","7","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui",,,"https://www.cumuleo.be/mandataire/9251-francoise-abad-gonzalez.php"
4670,"Blegny","PS",,"Myriam","ABAD-PERICK","F",2,"PS","16","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","https://www.cumuleo.be/mandataire/9250-myriam-abad-perick.php"
1080,"Molenbeek-Saint-Jean","Molenbeek act",15,"Hassan","Abakhour",,39,,,,,,,,,,,,,,,,,
6000,"Charleroi","PS",,"Faysal","ABARKAN","M",35,,,,,,,,,,,,,,,,,
4430,"Ans","CDH-RCA",,"Brahim","ABASBASSI","M",9,,,,,,,,,,,,,,,,,
1190,"Forest","LISTE DU BOURGMESTRE",5,"Fatima","ABBACH",,8,,,,,,,,,,,,,,,,,
1180,"Uccle","DéFI",4,"Gisele","Abboud Mbayoko",,30,,,,,,,,,,,,,,,,,
1070,"Anderlecht","PTB*PVDA",9,"Iman","Abdallah Mahyoub",,22,,,,,,,,,,,,,,,,,
1480,"Tubize","DéFI",,"Mourad","ABDELALI","M",1,,,,,,,,,,,,,,,,,
1190,"Forest","CDH",1,"Mustapha","ABDELLAOUI",,23,,,,,,,,,,,,,,,,,
7140,"Morlanwelz","PS",,"Mustapha","ABDELOUAHAD","M",15,,,,,,,,,,,,,,,,,
1080,"Molenbeek-Saint-Jean","Molenbeek act",15,"Hafida","Abdi",,4,,,,,,,,,,,,,,,,,
1060,"Saint-Gilles","DéFI",4,"Pierre","Abergel",,11,,,,,,,,,,,,,,,,,
1050,"Ixelles","DéFI",4,"Melissa","Aberri",,23,,,,,,,,,,,,,,,,,
1000,"Bruxelles","PS",5,"Fatima","ABID",,14,,,,,,,,,,,,,,,,,
7100,"La Louvière","PTB",,"Raimondo","ABIS","M",11,,,,,,,,,,,,,,,,,
1030,"Schaerbeek","PS-sp.a",5,"Mohammed","Abkoui",,23,,,,,,,,,,,,,,,,,
6220,"Fleurus","E+",,"Jean-Marie","ABOGSO","M",1,,,,,,,,,,,,,,,,,
4600,"Visé","Visons DEMAIN",,"Paul","ABOT","M",5,,,,,,,,,,,,,,,,,
1030,"Schaerbeek","PS-sp.a",5,"Aïcha","Abouhachem",,28,,,,,,,,,,,,,,,,,
1480,"Tubize","éB",,"Joanna","ABRAHAM","F",18,,,,,,,,,,,,,,,,,
4190,"Ferrières","RpF",,"Mallika","ABRAHAM","F",4,,,,,,,,,,,,,,,,,
7900,"Leuze-en-Hainaut","PS",,"Steve","ABRAHAM","M",5,,,,,,,,,,,,,,,,,
4610,"Beyne-Heusay","PS",,"Corinne","ABRAHAM - SUTERA","F",2,,,,,,,,,,,,,,,,,
7320,"Bernissart","6tem-ic",,"Sophie Morgan","ABRAMO","F",8,,,,,,,,,,,,,,,,,
1030,"Schaerbeek","CDH-CD&V+",1,"_","Abrar Hussain",,19,,,,,,,,,,,,,,,,,
4987,"Stoumont","VivrEnsemble",,"Bernadette","ABRAS","F",10,,,,,,,,,,,,,,,,,
6120,"Ham-sur-Heure-Nalinnes","Cap Communal",,"Agnès","ABRASSART","F",8,,,,,,,,,,,,,,,,,
,"Etalle","MAYEUR",,"Anne","ABRASSART","F",4,"x","8","oui","oui","oui","oui","oui",,,,,,,,,,"https://www.cumuleo.be/mandataire/13620-anne-abrassart.php"
4630,"Soumagne","ECOLO plus",,"Benoît","ABRASSART","M",7,,,,,,,,,,,,,,,,,
7300,"Boussu","ECHO",,"Lucrèce","ABRASSART","F",14,,,,,,,,,,,,,,,,,
,"Court-Saint-Etienne","PP",,"Patrick","ABRASSART","M",9,,,,,,,,,,,,,,,,,
5380,"Fernelmont","EPF",,"Robert","ABS","M",11,,,,,,,,,,,,,,,,,
5000,"Namur","MR",,"Coraline","ABSIL","F",3,,,,,,,,,,,,,,,,,
1180,"Uccle","CDH",1,"Juliette","Absil",,13,,,,,,,,,,,,,,,,,
,"Eghezée","EPV",,"Luc","ABSIL","M",7,,,,,,,,,,,,,,,,,
1050,"Ixelles","PS - sp.a",5,"Yousef","Abu Jahrur",,21,,,,,,,,,,,,,,,,,
4800,"Verviers","LA DROITE",,"Bektas","ACAR","M",17,,,,,,,,,,,,,,,,,
4800,"Verviers","LA DROITE",,"Erhan","AÇAR","M",3,,,,,,,,,,,,,,,,,
7090,"Braine-le-Comte","PS",,"Gaetano","ACCURSO","M",15,,,,,,,,,,,,,,,,,
7860,"Lessines","ECOLO",,"Luis","ACEVEDO PALACIOS","M",15,,,,,,,,,,,,,,,,,
1080,"Molenbeek-Saint-Jean","PS sp.a",5,"Abdellah","Achaoui",,8,,,,,,,,,,,,,,,,,
1190,"Forest","MR",12,"Sandra","ACHENBERG",,12,,,,,,,,,,,,,,,,,
4470,"Saint-Georges-sur-Meuse","PS",,"Marc","ACHTERGAELE","M",7,,,,,,,,,,,,,,,,,
1340,"Ottignies-Louvain-la-Neuve","KAYOUX",,"Youri","ACKX","M",8,,,,,,,,,,,,,,,,,
5060,"Sambreville","PS",,"Vincenzo","ACQUISTO","M",15,,,,,,,,,,,,,,,,,
4650,"Herve","EPH",,"Raphaël","ACUNZO","M",3,,,,,,,,,,,,,,,,,
1083,"Ganshoren","DéFI",4,"Aloïs","Adam",,25,,,,,,,,,,,,,,,,,
6870,"Saint-Hubert","CAP 2018",,"André","ADAM","M",13,"cdH","7","oui","oui","oui","oui","oui",,,,,,,,,,"https://www.cumuleo.be/mandataire/13623-andre-adam.php"
4000,"Liège","CDH",,"Barbara","ADAM","F",19,,,,,,,,,,,,,,,,,
6940,"Durbuy","CHANGEONS !",,"Bernard","ADAM","M",5,,,,,,,,,,,,,,,,,
6250,"Aiseau-Presles","MR",,"Charles","ADAM","M",5,,,,,,,,,,,,,,,,,
6000,"Charleroi","DéFI",,"Didier","ADAM","M",45,,,,,,,,,,,,,,,,,
6830,"Bouillon","ENSEMBLE",,"Dominique","ADAM","M",13,,,,,,,,,,,,,,,,,
5030,"Gembloux","ECOLO",,"Fabrice","ADAM","M",3,,,,,,,,,,,,,,,,,
5300,"Andenne","MR",,"François","ADAM","M",8,,,,,,,,,,,,,,,,,
6730,"Tintigny","PASSION COMMUNE",,"Hervé","ADAM","M",9,,,,,,,,,,,,,,,,,
5640,"Mettet","ROPS",,"Jean","ADAM","M",8,"x","9","oui",,,,,,,,,,,,,,"https://www.cumuleo.be/mandataire/16796-jean-adam.php"
6950,"Nassogne","I.C.N.",,"Jean","ADAM","M",7,,,,,,,,,,,,,,,,,
6810,"Chiny","Député-Maire",,"Josette","ADAM","F",10,,,,,,,,,,,,,,,,,
1495,"Villers-la-Ville","PP",,"Lionel","ADAM","M",3,,,,,,,,,,,,,,,,,
5575,"Gedinne","GEDINNE 2018",,"Marie","ADAM","F",14,,,,,,,,,,,,,,,,,
6000,"Charleroi","DéFI",,"Murielle","ADAM","F",34,,,,,,,,,,,,,,,,,
4257,"Berloz","PS-#",,"Nadine","ADAM","F",12,,,,,,,,,,,,,,,,,
5000,"Namur","PP",,"Nicolas","ADAM","M",31,,,,,,,,,,,,,,,,,
6830,"Bouillon","ENSEMBLE",,"Patrick","ADAM","M",1,,,,,,,,,,,,,,,,,
5680,"Doische","MR-IC",,"Raphaël","ADAM","M",3,"MR","3","oui","oui","oui","oui","oui","oui",,,,,,,,,"https://www.cumuleo.be/mandataire/12802-raphael-adam.php"
6637,"Fauvillers","Fauvillers Demain",,"Thibault","ADAM","M",9,,,,,,,,,,,,,,,,,
7730,"Estaimpuis","ECOLO",,"Xavier","ADAM","M",3,,,,,,,,,,,,,,,,,
6830,"Bouillon","ALTERNATIVE",,"Michelle","ADAM - PONCELET","F",6,,,,,,,,,,,,,,,,,
,"Erezée","VIVR'ACTION",,"Peterson","ADAM HENET","M",9,,,,,,,,,,,,,,,,,
6110,"Montigny-le-Tilleul","OSONS!",,"Marie Christine","ADAM-GIRAUDON","F",6,,,,,,,,,,,,,,,,,
6460,"Chimay","CLE",,"Martine","ADAM-VAN PETEGEM","F",10,,,,,,,,,,,,,,,,,
6820,"Florenville","AC",,"Nathalie","ADAM-ZDEB","F",8,,,,,,,,,,,,,,,,,
4845,"Jalhay","Ch-Ensemble",,"Pascale","ADANS-DESTER","F",2,,,,,,,,,,,,,,,,,
5660,"Couvin","MR-IC",,"Maurice-Richard","ADANT","M",5,,,,,,,,,,,,,,,,,
4500,"Huy","idHuy",,"Khadija","ADDAL","F",23,,,,,,,,,,,,,,,,,
7160,"Chapelle-lez-Herlaimont","Go ! Chapelle",,"Gabriel","ADDARIO","M",12,,,,,,,,,,,,,,,,,
1080,"Molenbeek-Saint-Jean","PTB*PVDA",9,"Hind","Addi",,2,,,,,,,,,,,,,,,,,
7090,"Braine-le-Comte","PS",,"Madiane","ADDI","M",11,,,,,,,,,,,,,,,,,
7170,"Manage","MR",,"Stelvio","ADDONIZIO","M",9,,,,,,,,,,,,,,,,,
4820,"Dison","MR",,"Mehdi","ADEL","M",11,,,,,,,,,,,,,,,,,
4870,"Trooz","Bourgmestre",,"Mike","ADELAIN","M",13,,,,,,,,,,,,,,,,,
1480,"Tubize","DéFI",,"Mohammadi","ADHAM","M",21,,,,,,,,,,,,,,,,,
7500,"Tournai","ECOLO",,"Enguerrand","ADIB","M",16,,,,,,,,,,,,,,,,,
1070,"Anderlecht","MR-Open Vld-IC",12,"Kamal","Adine",,7,"MR","7","oui","oui","oui","oui","oui",,,,,,,,,,"https://www.cumuleo.be/mandataire/13480-kamal-adine.php"
7700,"Mouscron","PP",,"Charlotte","ADINS","F",12,,,,,,,,,,,,,,,,,
4620,"Fléron","ECOLO",,"Caroline","ADJETEY-BAHUN","F",4,,,,,,,,,,,,,,,,,
1090,"Jette","DéFI",4,"Simine","Adlgostar",,11,,,,,,,,,,,,,,,,,
1030,"Schaerbeek","ECOLO-GROEN",2,"Benjamin","Adnet",,31,,,,,,,,,,,,,,,,,
1200,"Woluwe-Saint-Lambert","ECOLO-GROEN",2,"Jacques","Adnet",,7,,,,,,,,,,,,,,,,,
5500,"Dinant","LDB",,"Niels","ADNET - BECKER","M",19,,,,,,,,,,,,,,,,,
1200,"Woluwe-Saint-Lambert","ECOLO-GROEN",2,"Martine","Adnet-Branders",,20,,,,,,,,,,,,,,,,,
1080,"Molenbeek-Saint-Jean","ECOLO SAMEN",2,"Tsévi","Adomayakpor",,26,,,,,,,,,,,,,,,,,
