"zipcode","city","list","list_number"
,,,
7300,"Boussu","JEXISTE",
6700,"Arlon","ARLON 2030",
5580,"Rochefort","UCPR",
5555,"Bièvre","EPV",
1310,"La Hulpe","ECOLO",
7060,"Soignies","ENSEMBLE",
7860,"Lessines","PS MC",
1480,"Tubize","TUBIZE AUTREMENT",
1160,"Auderghem","LISTE CITOYENNE 1182",1
5060,"Sambreville","CDH PLUS",
4830,"Limbourg","Changeons Ens.",
4450,"Juprelle","UP ! Juprelle",
6230,"Pont-à-Celles","PS",
5660,"Couvin","Nation",
1160,"Auderghem","LISTE CITOYENNE 1168",1
4620,"Fléron","IC FLERON",
5520,"Onhaye","ICO",
,,"Liste du Bourgmestre",
6637,"Fauvillers","Alt-Citoyenne",
6600,"Bastogne","LDB - CDH",
1390,"Grez-Doiceau","ECOLO",
5060,"Sambreville","PP",
1367,"Ramillies","REM",
1315,"Incourt","ECOLO",
7320,"Bernissart","OXYGÈNE-I.C.",
4610,"Beyne-Heusay","PS",
7370,"Dour","VOTRE DOUR",
1200,"Woluwe-Saint-Lambert","DEMOS",13
7160,"Chapelle-lez-Herlaimont","AC",
4120,"Neupré","NEWPRE",
4684,"Oupeye","CDH",
1210,"Saint-Josse-Ten-Noode","LB",5
7130,"Binche","DéFI",
5140,"Sombreffe","CI-LdB",
5300,"Andenne","MR",
6120,"Ham-sur-Heure-Nalinnes","DéFI",
4845,"Jalhay","OSER",
4684,"Oupeye","PTB",
,"Etalle","MAYEUR",
4400,"Flémalle","I.C.",
4210,"Burdinne","particiPe",
7700,"Mouscron","PS",
4800,"Verviers","MR",
7860,"Lessines","ECOLO",
5140,"Sombreffe","ECOLO",
5190,"Jemeppe-sur-Sambre","Liste Mayeur",
1470,"Genappe","MR+cdH",
4100,"Seraing","LA DROITE",
4550,"Nandrin","BOURGMESTRE +",
1170,"Watermael-Boitsfort","MR-GM",12
4970,"Stavelot","L Bourgmestre",
6470,"Sivry-Rance","ACE",
4000,"Liège","PP",
6220,"Fleurus","AGIR",
7100,"La Louvière","MR-IC",
5575,"Gedinne","Aux12GEDIoui",
5560,"Houyet","ECOLO",
1070,"Anderlecht","VLAAMS BELANG",3
1050,"Ixelles","VOLT BELGÏE-BELGIQUE",13
4570,"Marchin","ECOLO",
6150,"Anderlues","PS",
4130,"Esneux","AGORA",
1060,"Saint-Gilles","GAUCHES COMMUNES",14
7600,"Péruwelz","AC - Action Citoyenne",
1180,"Uccle","ECOLO - GROEN",2
1400,"Nivelles","PluS",
1190,"Forest","Forest En Mieux",13
4053,"Chaudfontaine","Générations",
1000,"Bruxelles","CITOYEN D'EUROPE M3E",14
7140,"Morlanwelz","100% Citoyen",
4400,"Flémalle","ECOLO",
4800,"Verviers","PP",
5590,"Ciney","ACTION",
4480,"Engis","ECOLO",
5620,"Florennes","PS",
5340,"Gesves","GEM",
4980,"Trois-Ponts","PP",
7950,"Chièvres","PS",
1480,"Tubize","ECOLO",
5350,"Ohey","Ohey Plus",
7180,"Seneffe","PS",
4210,"Burdinne","ENSEMBLE",
6970,"Tenneville","Osez O.C.",
6250,"Aiseau-Presles","MR",
6660,"Houffalize","AC",
5370,"Havelange","HAV'ENIR",
5000,"Namur","CDH",
6000,"Charleroi","PS",
4140,"Sprimont","Bourgmestre",
1160,"Auderghem","LISTE CITOYENNE 1161",1
1140,"Evere","NATION",14
4500,"Huy","idHuy",
4340,"Awans","ECHOS-CIT'",
1000,"Bruxelles","CDH-CD&V+",1
5380,"Fernelmont","ECOLO",
1170,"Watermael-Boitsfort","DéFI",4
7911,"Frasnes-lez-Anvaing"," PS-AC",
5660,"Couvin","MR-IC",
4877,"Olne","ECOLO",
1000,"Bruxelles","Change.Brussels",11
1140,"Evere","HUMANISTES EVEROIS",1
4920,"Aywaille","Aywail'Demain ",
5640,"Mettet","ICAP",
5330,"Assesse","ALN",
1160,"Auderghem","LISTE CITOYENNE 1184",1
4540,"Amay","PS",
7500,"Tournai","Ensemble !",
7600,"Péruwelz","ECOLO",
4040,"Herstal","DéFI",
4800,"Verviers","NOUVEAU V.",
6200,"Châtelet","DéFI",
5590,"Ciney","CLE",
7120,"Estinnes","MR",
7080,"Frameries","PS",
7600,"Péruwelz","NATION",
7300,"Boussu","ECHO",
7100,"La Louvière","U.C.B",
4170,"Comblain-au-Pont","ECD",
1060,"Saint-Gilles","DéFI",4
4837,"Baelen","Trait d'Union",
4877,"Olne","LE BON SENS",
1430,"Rebecq","Union",
5640,"Mettet","ROPS",
,"Saint-Nicolas (liège)","PS",
7140,"Morlanwelz","MR",
5170,"Profondeville","PS",
4550,"Nandrin","ECOLO",
7300,"Boussu","PS",
4870,"Trooz","ECOVA",
1000,"Bruxelles","MR-VLD",6
4900,"Spa","Osons Spa",
5380,"Fernelmont","NATION",
7387,"Honnelles","PHA",
6950,"Nassogne","I.C.N.",
1000,"Bruxelles","DéFI",4
6840,"Neufchâteau","Pour Vous",
4000,"Liège","MR pour Liège",
1380,"Lasne","A.L.L.-Libéral",
4820,"Dison","AGIR",
5000,"Namur","PTB",
1000,"Bruxelles","ISLAM",15
5030,"Gembloux","BAILLI",
4837,"Baelen","ACBM",
